,1. open,2. high,3. low,4. close,5. volume
2022-06-28 13:00:00,236.4850,236.5230,235.3770,235.6700,559638
2022-06-28 12:55:00,236.1930,236.9100,236.1570,236.4730,314559
2022-06-28 12:50:00,236.4380,236.6170,236.1430,236.1500,239550
2022-06-28 12:45:00,237.1170,237.1570,236.1670,236.3880,454035
2022-06-28 12:40:00,236.2170,237.1030,236.2170,237.0730,668130
2022-06-28 12:35:00,235.2200,236.4940,235.2000,236.1950,399537
2022-06-28 12:30:00,236.3570,236.3730,235.2330,235.2520,477723
2022-06-28 12:25:00,236.1370,236.5330,235.8230,236.4280,447123
2022-06-28 12:20:00,236.2500,236.5330,235.6970,236.1550,539757
2022-06-28 12:15:00,236.3600,236.5570,235.0330,236.1430,879402
2022-06-28 12:10:00,236.8900,237.2930,236.3000,236.4100,574248
2022-06-28 12:05:00,235.9770,237.1700,235.9500,236.9430,659436
2022-06-28 12:00:00,236.3830,236.9270,235.8100,236.0620,687831
2022-06-28 11:55:00,236.4730,236.9670,236.1870,236.4300,588219
2022-06-28 11:50:00,237.9570,237.9700,236.3330,236.6130,886425
2022-06-28 11:45:00,237.4230,238.1670,237.2670,237.9230,728718
2022-06-28 11:40:00,237.8830,237.9970,237.0070,237.4330,987249
2022-06-28 11:35:00,239.0000,239.1300,237.7080,237.9200,830736
2022-06-28 11:30:00,238.9300,239.6570,238.7130,239.0930,779769
2022-06-28 11:25:00,238.9230,239.5770,238.6100,238.9710,772428
2022-06-28 11:20:00,239.8600,240.0530,238.8230,238.8980,912375
2022-06-28 11:15:00,241.7220,241.7340,239.7500,239.7820,1152306
2022-06-28 11:10:00,242.2630,242.3300,241.5000,241.7360,685290
2022-06-28 11:05:00,243.1860,243.3800,241.8970,242.2670,595056
2022-06-28 11:00:00,242.8560,243.6630,241.8500,243.2090,802086
2022-06-28 10:55:00,242.1670,242.9830,241.8440,242.9370,864687
2022-06-28 10:50:00,241.8570,242.4900,241.5400,242.1630,734220
2022-06-28 10:45:00,242.8370,242.9060,241.4800,241.8550,1045302
2022-06-28 10:40:00,244.0030,244.0170,242.1130,242.8930,1011201
2022-06-28 10:35:00,243.1430,244.3630,243.1430,244.0030,957348
2022-06-28 10:30:00,244.8500,244.9330,243.1210,243.1370,1191726
2022-06-28 10:25:00,245.3250,245.8330,244.8770,244.8800,598677
2022-06-28 10:20:00,245.3420,245.6000,244.4000,245.3170,1011321
2022-06-28 10:15:00,246.1760,246.6630,245.2580,245.3450,817404
2022-06-28 10:10:00,245.9430,246.9970,245.8330,246.3200,959826
2022-06-28 10:05:00,247.0000,247.2830,245.0370,245.9630,1484700
2022-06-28 10:00:00,248.1730,249.2870,246.6700,247.0670,1238034
2022-06-28 09:55:00,249.4300,249.6570,247.1670,248.2770,1379481
2022-06-28 09:50:00,249.8900,249.9700,248.5830,249.5200,1219443
2022-06-28 09:45:00,248.0400,249.8870,246.7230,249.8870,1706322
2022-06-28 09:40:00,247.8000,248.3070,247.0100,248.0090,1215903
2022-06-28 09:35:00,247.1850,248.5170,246.2170,247.7360,1763823
2022-06-28 09:30:00,244.5100,248.2330,244.0000,247.2200,2536098
2022-06-27 15:55:00,244.3830,244.9870,244.2600,244.8770,759669
2022-06-27 15:50:00,244.6830,244.7930,244.0400,244.3630,380472
2022-06-27 15:45:00,244.8900,245.1830,244.5230,244.7230,592944
2022-06-27 15:40:00,243.8100,244.9230,243.6250,244.8940,663426
